Record,Location,X,Y,lon,lat,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
11,INNES RD btwn CYRVILLE RD & STONEHENGE CRES,375067.156,5031133.782,-75.60219484,45.41661092,2014-11-29,18:36,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Industrial Park
12,5TH LINE RD btwn SPRINGHILL RD & DEVEREAUX RD,381599.6182,5004704.11,-75.52283442,45.17812504,2014-11-21,15:47,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Metcalfe
13,MERIVALE RD/LOTTA AVE @ CLYDE AVE,364520.3414,5024507.468,-75.73774049,45.35796826,2014-11-27,8:26,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,05 - Turning movement,Cityview - Skyline - Fisher Heights
14,MARCH RD btwn GOLDEN LINE RD & BURNT LANDS RD,332981.2863,5013479.049,-76.14091398,45.26070555,2014-10-24,6:54,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,03 - Dawn,01 - Fatal injury,01 - Approaching,Carp - Hardwood Plains
15,CARLING AVE btwn BURKE RD & DEFENSE  RESEARCH COMPLEX,353094.3533,5022822.359,-75.88373481,45.34368556,2014-07-12,5:25,01 - Clear,01 - Dry,10 - No control,06 - Underpass or tunnel,03 - Dawn,01 - Fatal injury,07 - SMV other,Greenbelt
16,REGIONAL RD 174 @ TRIM RD,384354.223,5039988.445,-75.48211908,45.49528283,2014-02-17,0:53,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Cumberland - Estates
17,JOCKVALE RD @ STRANDHERD DR,363562.8502,5014578.785,-75.75113824,45.26871128,2014-08-07,21:46,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Barrhaven West - Old Barrhaven
18,HIGHWAY 17 btwn THOMAS ELLIOT RD & GALETTA SIDE RD,320438.6755,5031255.758,-76.30016866,45.42106225,2014-07-23,19:14,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,01 - Approaching,McNab/Braeside
19,BASELINE RD @ ROCKWAY CRES,361184.202,5022933.452,-75.78049837,45.34408156,2014-11-03,6:52,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,03 - Dawn,01 - Fatal injury,07 - SMV other,Iris
20,WOODROFFE AVE @ KNOXDALE RD/MEDHURST DR,363419.4489,5021827.089,-75.75210853,45.33394336,2014-12-12,18:46,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,05 - Turning movement,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
21,ST. JOSEPH BLVD btwn OR174 IC109 RAMP54 & ROCKCLIFFE PKWY,376850.2408,5035154.439,-75.57882684,45.45260494,2014-02-15,23:19,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,99 - Other,Greenbelt
22,HIGHWAY 416 btwn HWY416 IC75A RAMP26 & HWY416 IC72 RAMP62,359352.9097,5019843.302,-75.80420572,45.31642108,2014-08-25,12:15,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,04 - Sideswipe,Greenbelt
23,HIGHWAY 417 btwn RAMP & HWY417 IC88 RAMP51,388511.9501,5023667.802,-75.43170399,45.3479598,2014-09-17,7:45,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,03 - Rear end,Navan - Vars
24,HIGHWAY 417 btwn HWY417 IC118 RAMP67 & HWY417 IC117 RAMP36,370194.2141,5031116.911,-75.66445187,45.41693152,2014-10-31,23:36,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,99 - Other,Sandy Hill
25,HIGHWAY 416 btwn HWY416 IC42 RAMP34 & HWY416 IC42 RAMP43,371426.1114,4995211.515,-75.6535272,45.09374454,2014-11-03,11:15,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Manotick - North Gower
26,WOODROFFE AVE @ DEERFOX DR/STONEWAY DR,365885.2242,5015942.335,-75.7213773,45.28078257,2014-12-19,10:53,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Chapman Mills - Rideau Crest - Davidson Heights
27,MCCORDICK RD btwn EAGLESON RD & DOBSON LANE,359182.9218,5004607.089,-75.80804031,45.17933616,2014-10-18,5:28,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Munster Hamlet - Richmond
28,BEECHWOOD AVE @ SPRINGFIELD RD,369237.6515,5033655.014,-75.67634059,45.43985714,2014-11-28,17:50,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,01 - Fatal injury,07 - SMV other,Vanier North
29,WOODROFFE AVE btwn STONELEIGH ST & WHITEWATER ST,366454.3132,5014540.031,-75.71429824,45.26811504,2014-01-09,8:53,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,New Barrhaven
30,KING EDWARD AVE @ ST. ANDREW ST,368160.7,5032969.343,-75.69019333,45.43378616,2014-01-02,9:37,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Lower Town
31,RIVER RD btwn BRIDGE ST & ROYAL PALM CRES,370180.0569,5009785.563,-75.6674487,45.22499841,2014-01-03,8:04,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Manotick
32,BOUNDARY RD btwn BURTON RD & COOPER HILL RD,389455.3803,5018512.529,-75.42054782,45.301464,2014-01-03,15:11,03 - Snow,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Metcalfe
33,BROADVIEW AVE @ TILLBURY AVE,363071.194,5026906.791,-75.75595255,45.37967903,2014-01-09,9:41,01 - Clear,06 - Ice,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Carlingwood - McKellar Park - Laurentien View
34,JOHNSTON RD btwn ALLANFORD AVE & CONROY RD,373266.5156,5026244.835,-75.62587741,45.37280088,2014-01-03,9:08,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,01 - Approaching,South Keys - Heron Gate - Greenboro West
35,GREENBANK RD @ BERRIGAN DR/WESSEX RD,363723.6817,5015276.678,-75.749006,45.27497748,2014-01-03,16:58,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,New Barrhaven
36,ST. LAURENT BLVD @ COVENTRY RD/OGILVIE RD,372305.9609,5031951.651,-75.63735853,45.42424157,2014-01-03,17:33,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Overbrook
37,LANTHIER DR @ VANTAGE DR,383600.2544,5035849.321,-75.49242841,45.45812836,2014-01-06,17:00,01 - Clear,06 - Ice,02 - Stop sign,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Avalon
38,REGIONAL ROAD 174 EB btwn OR174 IC109 RAMP55 & TRANSIT,376495.955,5035035.365,-75.5833732,45.45157003,2014-01-04,6:40,03 - Snow,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,99 - Other,Greenbelt
39,FALLOWFIELD RD @ GREENBANK RD,363080.6757,5016732.709,-75.75702955,45.28813247,2014-01-08,6:19,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Greenbelt
40,HAWTHORNE RD @ LEITRIM RD,377038.7617,5022709.756,-75.57823925,45.34061532,2014-01-06,21:11,03 - Snow,06 - Ice,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,Greenbelt
41,DALHOUSIE ST @ MURRAY ST,368003.1682,5032574.829,-75.69225717,45.43025071,2014-01-07,10:49,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Byward Market
42,HAIG DR @ SMYTH RD,372563.4903,5029297.314,-75.63443292,45.40033416,2014-01-07,12:05,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Elmvale - Eastway - Riverview - Riverview Park West
43,GLADSTONE AVE @ LYON ST,367583.7135,5030362.332,-75.69789925,45.41038116,2014-01-05,7:33,03 - Snow,04 - Slush,01 - Traffic signal,03 - At intersection,03 - Dawn,02 - Non-fatal injury,02 - Angle,Centretown
44,TENTH LINE RD @ CHARLEMAGNE BLVD N/TOMPKINS AV,383183.4229,5037978.135,-75.49741784,45.47732841,2014-01-03,23:22,00 - Unknown,06 - Ice,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,Queenswood Heights
45,LEITRIM RD btwn HIGH RD & ALBION RD,372089.7271,5019564.762,-75.64180858,45.31280976,2014-01-03,10:25,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Greenbelt
46,FALLOWFIELD RD btwn EAGLESON RD & RICHMOND RD,356853.9028,5013025.077,-75.83679237,45.25525926,2014-01-05,7:24,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,Munster Hamlet - Richmond
47,BANK ST btwn CONROY RD & KEMP DR,375066.0429,5022217.46,-75.60347775,45.3363862,2014-01-03,17:12,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Greenbelt
48,KITCHENER AVE @ BANK ST,370541.3831,5025500.732,-75.66076479,45.36636663,2014-01-02,14:47,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
49,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367459.2173,5021891.757,-75.70056417,45.33417613,2014-01-03,16:19,00 - Unknown,06 - Ice,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Industrial Park
50,RUSSELL RD btwn SOUTHVALE CRES & WALKLEY RD,374630.2543,5028536.207,-75.60814432,45.393283,2014-01-08,16:20,01 - Clear,02 - Wet,10 - No control,04 - At/near private drive,05 - Dusk,02 - Non-fatal injury,02 - Angle,Sheffield Glen
51,AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BROOKFIELD RAMP 52B,368804.47,5026398.578,-75.68281909,45.37460596,2014-01-04,6:54,01 - Clear,06 - Ice,10 - No control,07 - Overpass or bridge,07 - Dark,02 - Non-fatal injury,07 - SMV other,Riverside Park
52,BELFAST RD btwn TREMBLAY RD & TRAINYARDS DR,371787.9174,5030946.781,-75.64411435,45.41525,2014-01-04,16:01,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Industrial Park
53,SAUNDERSON DR @ SMYTH RD,372793.7313,5029324.311,-75.63148859,45.40055474,2014-01-08,16:25,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Elmvale - Eastway - Riverview - Riverview Park West
54,TERRY FOX DR @ FERNBANK RD,354303.6359,5015131.234,-75.86907285,45.27439505,2014-01-04,10:16,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Stittsville - Basswood
55,PARKDALE AVE @ SCOTT ST,364949.7036,5029726.306,-75.73162484,45.40488969,2014-01-02,17:30,01 - Clear,06 - Ice,01 - Traffic signal,03 - At intersection,05 - Dusk,02 - Non-fatal injury,05 - Turning movement,Islan
56,HWY 417 MAITLAND IC126R52 @ MAITLAND AVE,363206.7745,5025833.377,-75.75434846,45.3700093,2014-01-03,17:20,01 - Clear,01 - Dry,03 - Yield sign,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Braemar Park - Bel Air Heights - Copeland Park
57,EAGLESON RD @ HWY 417 EAGLESO IC138R51/PARK AN,353037.1811,5020013.534,-75.88473803,45.31841517,2014-01-07,10:20,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Greenbelt
58,EARL MULLIGAN DR @ WOODPARK WAY,365105.704,5017424.222,-75.73113243,45.29418383,2014-01-08,11:30,01 - Clear,06 - Ice,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,New Barrhaven
59,STRANDHERD @ KENNEVALE DR,361491.86,5014100.309,-75.77758299,45.2645759,2014-01-04,13:21,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Munster Hamlet - Richmond
60,KLONDIKE RD @ MARCH RD,349263.478,5024062.382,-75.93250509,45.35509686,2014-01-06,7:19,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,03 - Dawn,02 - Non-fatal injury,03 - Rear end,South March
61,HIGHWAY 417 btwn HWY417 IC127 RAMP25 & HWY417 IC126 RAMP51,362379.9603,5025025.126,-75.76499731,45.36280515,2014-01-04,8:00,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Braemar Park - Bel Air Heights - Copeland Park
62,WEST HUNT CLUB RD WB btwn 545 E OF ROYDON PL/SUNDERLAND ST & ANTARES D,366979.9875,5022319.321,-75.7066241,45.33806591,2014-01-03,9:44,01 - Clear,06 - Ice,10 - No control,07 - Overpass or bridge,01 - Daylight,02 - Non-fatal injury,99 - Other,Industrial Park
63,KANATA RD @ LORD BYNG WAY/MARITIME WAY,351429.743,5019332.497,-75.90530377,45.31239564,2014-01-07,14:59,05 - Drifting Snow,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Kanata
64,RUSSELL RD btwn CARLSBAD LANE & MILTON RD,388769.465,5025507.35,-75.42810582,45.36447959,2014-01-05,18:53,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Navan - Vars
65,HIGHWAY 417 btwn HWY417 IC140 RAMP16 & HWY417 IC140 RAMP61,351236.5279,5018849.022,-75.90781313,45.30805801,2014-01-25,20:12,06 - Strong wind,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Kanata
66,JEANNE D'ARC BLVD @ WILLOW AVE,381626.2496,5038840.36,-75.51719739,45.48525904,2014-01-22,11:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Chatelaine Village
67,SMYTH RD btwn ROGER GUINDON AVE & BOTSFORD ST,371984.1001,5029233.006,-75.6418416,45.39981138,2014-01-20,11:27,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Elmvale - Eastway - Riverview - Riverview Park West
68,MERIVALE RD @ WEST HUNT CLUB RD,365613.9298,5021942.498,-75.72409878,45.33479504,2014-01-21,15:02,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
69,RICHMOND RD @ HOLLY ACRES RD/NANAIMO DR,359057.6577,5022748.75,-75.80765278,45.34258732,2014-01-19,15:05,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Greenbelt
70,CAMPEAU DR/HWY 417 MARCH IC138R63 @ MARCH RD,352842.0495,5020475.891,-75.88718193,45.32258893,2014-01-22,12:19,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Greenbelt
71,MARCH RD @ TERRY FOX DR,349864.6086,5023400.269,-75.92489349,45.34910065,2014-01-22,20:02,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,South March
72,BELL ST @ GLADSTONE AVE,366945.6978,5029969.817,-75.70609898,45.40690637,2014-01-20,11:57,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Centretown West
73,RIVERSIDE DR @ UPLANDS DR/KIMBERWICK CRES N,368194.716,5022793.5,-75.69106574,45.34222376,2014-01-02,17:17,01 - Clear,06 - Ice,01 - Traffic signal,03 - At intersection,05 - Dusk,02 - Non-fatal injury,07 - SMV other,Hunt Club Woods - Quintarra - Revelstoke - Riverside South P
74,BRONSON AVE @ SOMERSET ST,366967.6961,5030476.319,-75.70575411,45.41146177,2014-01-07,16:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Chinatown
75,"OLD MONTREAL RD btwn GRAND-CH-NE, COUR DU CRT & TED KELLY LANE",385431.0493,5039831.11,-75.46836937,45.49374369,2014-01-14,20:11,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Cumberland - Estates
76,PARKDALE AVE @ RUSKIN ST,365507.1954,5028452.824,-75.72466062,45.39338306,2014-01-08,16:00,01 - Clear,06 - Ice,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Civic Hospital - Experimental Farm - Central Park
77,HIGHWAY 417 btwn HWY417 IC119A RAMP75 & HWY417 IC118 RAMP57,368913.6994,5030675.502,-75.68086885,45.41307838,2014-01-02,9:20,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,Old Ottawa East
78,RIVER RD btwn KILBY LANE & WATERFRONT CRT,372700.0795,5006660.799,-75.6357882,45.19664379,2014-01-18,13:17,03 - Snow,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Manotick
79,HIGHWAY 417 btwn HWY417 IC124 RAMP76 & HWY417 IC124 RAMP67,364201.7839,5027247.282,-75.74147668,45.38264776,2014-01-11,9:40,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,Westboro
80,GREENBANK RD @ STRANDHERD DR,363934.9185,5014786.886,-75.74637231,45.27055259,2014-01-11,8:22,04 - Freezing Rain,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,New Barrhaven
81,BASELINE RD @ MONTEREY DR,359793.1641,5022155.245,-75.79833413,45.33718968,2014-01-01,14:24,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Qualicum - Redwood Park
82,HUNT CLUB RD @ RIVERSIDE DR,368036.196,5021946.259,-75.69319657,45.33461477,2014-01-09,7:20,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,03 - Dawn,02 - Non-fatal injury,03 - Rear end,Hunt Club Woods - Quintarra - Revelstoke - Riverside South P
83,COLONNADE RD @ PRINCE OF WALES DR,367395.2186,5023266.77,-75.70120665,45.34655395,2014-01-11,6:35,04 - Freezing Rain,06 - Ice,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Industrial Park
84,BANK ST @ LAURIER AVE,367481.2073,5031265.842,-75.69909379,45.41851985,2014-01-11,8:00,02 - Rain,05 - Packed snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Downtown
85,HIGHWAY 417 btwn HWY417 IC110 RAMP66 & HWY417 IC110 RAMP56,375839.3708,5029114.383,-75.59262044,45.3983635,2014-01-03,6:50,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Greenbelt
86,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,360976.3883,5012945.352,-75.78428164,45.25422482,2014-01-03,9:54,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Munster Hamlet - Richmond
87,CENTRAL PARK DR S @ MERIVALE RD,364987.2004,5025600.96,-75.73164895,45.36776741,2014-01-15,11:50,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Civic Hospital - Experimental Farm - Central Park
88,HIGHWAY 417 btwn HWY417 IC127 RAMP63 & HWY417 IC127 RAMP67,362141.73,5024867.611,-75.76805633,45.36140737,2014-01-11,9:20,02 - Rain,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,Carlingwood West - Glabar Park - McKellar Heights
89,OTTAWA RIVER PKWY @ ISLAND PARK DR,363297.887,5029456.603,-75.75275594,45.40260294,2014-01-13,6:18,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Westboro
90,FISHER AVE btwn DEER PARK RD & KINTYRE PRIV,366484.215,5025265.217,-75.71258173,45.36461631,2014-01-10,8:23,03 - Snow,03 - Loose snow,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Carleton Heights - Rideauview
91,LANTHIER DR @ VANTAGE DR,383601.2684,5035848.814,-75.49241553,45.45812368,2014-01-09,17:00,01 - Clear,06 - Ice,02 - Stop sign,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Avalon
92,HUNT CLUB RD @ RIVERSIDE DR,368036.703,5021946.259,-75.6931901,45.33461472,2014-01-11,6:36,04 - Freezing Rain,06 - Ice,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,Hunt Club Woods - Quintarra - Revelstoke - Riverside South P
93,CARLING AVE EB btwn CONNAUGHT AVE & CARLING AVE EB ON RAMP/OTTAWA RIVE,360788.9272,5025106.615,-75.78529586,45.36366727,2014-01-22,8:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Whitehaven - Queensway Terrace North
94,BRONSON PL @ COLONEL BY DR,367809.1908,5028520.115,-75.6952543,45.39378518,2014-01-20,14:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Old Ottawa South
95,OTTAWA RIVER PKWY EB btwn TURN LANE & TRANSIT,361440.242,5027050.82,-75.77675947,45.38110874,2014-01-08,7:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,Woodroffe - Lincoln Heights
96,CARLING AVE @ MERIVALE RD,364895.2108,5027700.798,-75.73256763,45.38666927,2014-01-15,7:31,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,02 - Non-fatal injury,05 - Turning movement,Carlington
97,WOODROFFE AVE @ SPORTSPLEX S,363832.6398,5020900.209,-75.74694786,45.32556872,2014-01-15,7:42,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,02 - Non-fatal injury,02 - Angle,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
98,HIGHWAY 417 btwn HWY417 IC117 RAMP26 & HWY417 IC117 RAMP61,370866.6548,5031235.465,-75.65584507,45.41793505,2014-01-03,12:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
99,HIGHWAY 417 btwn HWY417 IC110 RAMP64 & HWY417 IC104 RAMP16,378027.743,5026433.958,-75.56506992,45.37402115,2014-01-04,7:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,Greenbelt
100,HIGHWAY 416 btwn HWY416 IC66 RAMP24 & HWY416 IC57 RAMP62,361207.738,5012438.953,-75.78139182,45.24964968,2014-01-01,3:50,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end,Munster Hamlet - Richmond
101,PARKDALE AVE @ KENILWORTH ST,365445.6998,5028595.297,-75.72542845,45.39467033,2014-01-16,7:54,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,03 - Dawn,02 - Non-fatal injury,02 - Angle,Civic Hospital - Experimental Farm - Central Park
