Record,Location,X,Y,lon,lat,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
50,HWY417 IC118 RAMP35 btwn NICHOLAS ST & HWY417 IC118 RAMP45,369486.1355,5030990.473,-75.6735147,45.41585969,1/21/2015,11:30,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,Old Ottawa East
51,GREENBANK RD @ WEST HUNT CLUB RD,361477.7493,5020501.997,-75.77703123,45.32217972,1/8/2015,14:36,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Greenbelt
52,BARNSDALE RD @ PRINCE OF WALES DR,366648.6239,5011531.931,-75.71219659,45.24103118,1/16/2015,8:51,05 - Drifting Snow,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,New Barrhaven
53,SWEETNAM DR btwn ORCHARD DR & HARRY DOUGLAS DR,350726.7933,5015203.375,-75.91465079,45.27528692,1/31/2015,9:38,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Stittsville
54,CATHERINE ST @ ELGIN ST,368552.7096,5030579.018,-75.68549295,45.41224323,2/18/2015,13:00,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,02 - Angle,Centretown
55,PERCY ST btwn CATHERINE ST & CHAMBERLAIN AVE,367503.1566,5029920.451,-75.69898452,45.40641247,1/16/2015,10:12,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Centretown
56,ALBION RD @ HUNT CLUB RD,371867.2267,5024320.771,-75.64400147,45.35562415,1/8/2015,16:30,01 - Clear,06 - Ice,01 - Traffic signal,03 - At intersection,05 - Dusk,02 - Non-fatal injury,05 - Turning movement,South Keys - Heron Gate - Greenboro West
57,BANTREE ST @ INNES RD,373705.7232,5030406.073,-75.61968955,45.41019875,1/30/2015,18:58,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Industrial Park
58,BANK ST btwn FINDLAY CREEK DR & BLAIS RD,376145.1178,5019748.197,-75.59006739,45.31405993,1/14/2015,8:46,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,01 - Approaching,Greenbelt
59,TERRY FOX DR @ HALKIRK AVE/WINCHESTER DR,352511.6817,5016870.092,-75.89174293,45.29016564,1/14/2015,21:14,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,04 - Sideswipe,Glen Cairn - Kanata South Business Park
60,NAVAN RD btwn CANARY ST & MILTON RD,386987.8652,5031761.796,-75.44980277,45.42096257,2/27/2015,15:37,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,Navan - Vars
61,BANK ST btwn ANOKA ST & WILDWOOD AVE,370024.7536,5026767.415,-75.66719197,45.37781211,2/27/2015,16:32,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Alta Vista
62,BEATRICE DR @ STRANDHERD DR,365528.3409,5015321,-75.72600191,45.27522274,1/16/2015,13:00,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,New Barrhaven
63,HOLLY ACRES RD @ TRANSITWAY - BAYSHORE/278 N O,358497.639,5022986.938,-75.81477245,45.34477363,2/2/2015,14:47,03 - Snow,05 - Packed snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Bayshore
64,CRAIG HENRY DR @ KNOXDALE RD,363116.6879,5021656.936,-75.75599101,45.33243756,3/1/2015,23:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
65,REGIONAL ROAD 174 btwn QUIGLEY HILL RD & REGIONAL ROAD 174 DIVIDED,385141.6229,5041254.562,-75.47183874,45.50658385,1/17/2015,8:03,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,Cumberland - Estates
66,STRANDHERD DR btwn CEDARVIEW RD & MCKENNA CASEY DR,362085.9114,5013560.347,-75.77007595,45.25966915,2/8/2015,8:45,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,01 - Approaching,Munster Hamlet - Richmond
67,CYRVILLE RD btwn LABRIE AVE & STAR TOP RD,373596.2066,5031609.828,-75.62092048,45.42104032,2/10/2015,17:22,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end,Pineview
68,MACLAREN ST btwn METCALFE ST & ELGIN ST,368149.3013,5031091.905,-75.69058046,45.41689465,2/10/2015,18:40,01 - Clear,04 - Slush,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,03 - Rear end,Centretown
69,HINCKS LANE @ RIVERSIDE DR,370166.7159,5030204.12,-75.66492423,45.40872114,3/6/2015,13:20,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Industrial Park
70,ROCKDALE RD @ RUSSELL RD,393759.8612,5026971.992,-75.36415046,45.37704124,3/7/2015,14:32,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,02 - Angle,Navan - Vars
71,WEST HUNT CLUB RD @ WOODROFFE AVE,363671.6549,5021244.079,-75.7489604,45.32867636,2/11/2015,8:43,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
72,ELWOOD ST @ MONTREAL RD,374392.7333,5034400.351,-75.61034924,45.44606914,7/31/2015,8:59,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Beacon Hill South - Cardinal Heights
73,INDUSTRIAL AVE btwn RUSSELL RD & ST. LAURENT BLVD,373059.2455,5029980.025,-75.6280067,45.40642872,3/10/2015,11:17,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
74,ALBION RD @ WYLDEWOOD ST,372291.7727,5023293.991,-75.63872362,45.34634481,1/21/2015,11:30,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Blossom Park - Blossom Park West - Sawmill Creek/ Timbermill
75,BANK ST btwn ARENA PL & WHITE ALDER AVE,375688.1114,5020837.104,-75.59573946,45.32390376,2/19/2015,16:42,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Greenbelt
76,PLACE D'ORLEANS @ CENTRUM BLVD/PLACE D'ORLEANS,381962.3593,5038138.685,-75.51300858,45.47890891,3/11/2015,15:50,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Industrial Park
77,FROBISHER LANE W @ RIVERSIDE DR,370118.7151,5029601.708,-75.6656172,45.40330535,1/28/2015,14:21,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
78,SMYTH RD E/LANCASTER RD @ ST. LAURENT BLVD N/R,373364.902,5029425.848,-75.62417953,45.40141262,1/10/2015,17:45,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Sheffield Glen
79,SNAKE ISLAND RD btwn MCGUIRE RD & BLANCHFIELD RD,376383.8258,5005042.539,-75.58914067,45.18171865,1/23/2015,8:32,01 - Clear,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Kars - Osgoode
80,JOCKVALE RD @ LONGFIELDS DR,364829.2929,5014001.028,-75.73507021,45.26340567,10/1/2015,16:20,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,New Barrhaven
81,GREENBANK RD @ MARKETPLACE AVE,364009.3198,5014600.744,-75.7454464,45.26887142,3/2/2015,15:28,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,New Barrhaven
82,KING EDWARD AVE @ YORK ST,368396.8977,5032621.918,-75.68721969,45.43063871,1/16/2015,12:25,01 - Clear,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Lower Town
83,MERIVALE RD/LOTTA AVE @ CLYDE AVE,364520.7344,5024508.008,-75.73773541,45.35797309,1/21/2015,14:47,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Cityview - Skyline - Fisher Heights
84,BARNSDALE RD @ GREENBANK RD,365591.6526,5010927.877,-75.72573245,45.23568796,1/21/2015,16:51,01 - Clear,06 - Ice,02 - Stop sign,03 - At intersection,05 - Dusk,02 - Non-fatal injury,02 - Angle,New Barrhaven
85,COVENTRY RD @ VANIER PKWY,370677.1078,5031611.583,-75.65821642,45.42133707,1/22/2015,8:27,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Overbrook
86,TRIM RD btwn WALL RD & NAVAN RD,387663.4855,5034580.37,-75.4406968,45.44624159,1/16/2015,17:12,05 - Drifting Snow,03 - Loose snow,10 - No control,01 - Non intersection,05 - Dusk,02 - Non-fatal injury,07 - SMV other,Navan - Vars
87,GEORGE ST btwn SUSSEX DR & 26 W OF BYWARD MARKET/FREIMAN MALL,367915.705,5032159.264,-75.6934281,45.4265195,6/17/2015,22:16,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Byward Market
88,BANK ST @ RIVERSIDE DR S,369304.9695,5027894.633,-75.67623412,45.38802111,8/6/2015,20:07,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Alta Vista
89,PAUL ANKA DR @ UPLANDS DR,369458.2304,5023575.769,-75.67484234,45.3491471,8/11/2015,7:07,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Hunt Club East - Western Community
90,FISHER AVE @ PRINCE OF WALES DR,367162.6687,5023942.993,-75.70408872,45.35265919,1/22/2015,18:09,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen
91,CYCLONE TAYLOR BLVD @ PALLADIUM DR,350157.5958,5017583.705,-75.92168739,45.29674283,2/27/2015,18:30,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata
92,MERIVALE RD @ 170 N OF HUNTCLUB RD/COSTCO/CANA,365548.5265,5022100.576,-75.72491375,45.33622307,2/27/2015,19:37,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Tanglewood
93,MARCH RD btwn OLD CARP RD & KLONDIKE RD,349115.1884,5024224.615,-75.9343831,45.35656605,3/7/2015,12:22,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,03 - Rear end,South March
94,OGILVIE RD btwn MATHESON RD & CADBORO RD,373412.0022,5032553.128,-75.62314257,45.42954575,5/8/2015,16:44,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Industrial Park
95,BASELINE RD/HERON RD @ PRINCE OF WALES DR,366873.7065,5026437.087,-75.70746298,45.37512615,1/4/2015,17:40,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Civic Hospital - Experimental Farm - Central Park
96,DOWNPATRICK RD btwn WYMAN CRES & WYMAN PL,370563.5043,5023260.155,-75.6607805,45.34620453,5/8/2015,20:43,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,07 - Dark,02 - Non-fatal injury,02 - Angle,Hunt Club - Ottawa Airport
97,HAIG DR @ PLEASANT PARK RD,372400.8085,5028586.068,-75.63660815,45.39395039,11/3/2015,8:14,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Elmvale - Eastway - Riverview - Riverview Park West
98,QUEEN MARY ST @ VANIER PKWY,370365.6382,5031956.139,-75.66215012,45.42446651,11/4/2015,1:25,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,07 - SMV other,Overbrook
99,ALBION RD @ LESTER RD,372693.7793,5022332.014,-75.63372614,45.33765047,3/3/2015,18:34,03 - Snow,05 - Packed snow,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,01 - Approaching,Greenbelt
100,ORLEANS BLVD @ ST. JOSEPH BLVD,380632.7016,5036982.036,-75.53019241,45.46864801,11/11/2015,17:18,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,Industrial Park
101,GLADSTONE AVE @ LORETTA AVE,366196.701,5029567.082,-75.71571654,45.40334876,11/11/2015,19:26,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Centretow
102,BLAIR RD btwn APPLEFORD ST & DUNHAM ST,374282.3766,5033773.551,-75.61184833,45.44044052,4/2/2015,19:50,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,01 - Approaching,Beacon Hill South - Cardinal Heights
