Record,Location,X,Y,lon,lat,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
27,8TH LINE RD @ VICTORIA ST,385451.9695,5011164.176,-75.47278075,45.23581931,2016-05-29,10:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Metcalfe
28,8TH LINE RD btwn BYRON ST & UNITED AVE,385525.5932,5010978.176,-75.47187337,45.23413736,2016-01-17,10:23,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Metcalfe
29,8TH LINE RD btwn FOREST GREEN CRES & PANA RD,384396.2117,5013941.896,-75.4857805,45.26093177,2016-10-28,19:09,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,07 - Dark,03 - P.D. only,02 - Angle,Metcalfe
30,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR,383027.6206,5017219.767,-75.50269998,45.29057768,2016-09-02,8:38,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Metcalfe
31,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR,382563.866,5018314.358,-75.50843972,45.30047764,2016-11-01,14:44,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Metcalfe
32,8TH LINE RD btwn SPRINGHILL RD & MARVELVILLE RD,387020.4814,5007061.781,-75.45348414,45.19872711,2016-11-08,14:45,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Metcalfe
33,8TH LINE RD btwn VAN RENS ST & GLENWOOD DR,385804.4796,5010250.135,-75.46844055,45.22755486,2016-12-05,17:24,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Metcalfe
34,8TH LINE RD btwn WALKER RD & SPRINGHILL RD,386451.5076,5008544.113,-75.46048203,45.21213039,2016-09-13,16:29,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Metcalfe
35,9TH LINE RD @ VICTORIA ST,387131.2902,5012211.109,-75.45122243,45.24504457,2016-11-27,13:20,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Metcalfe
36,AARON AVE @ CARLING AVE,362119.9364,5025949.91,-75.76820893,45.37114758,2016-02-29,12:50,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Carlingwood West - Glabar Park - McKellar Heights
37,AARON AVE @ CARLING AVE,362120.4596,5025949.535,-75.7682023,45.37114417,2016-08-10,16:50,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carlingwood West - Glabar Park - McKellar Heights
38,AARON AVE @ LENESTER AVE,362234.865,5025664.285,-75.76677499,45.36856815,2016-10-04,16:46,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Glabar Park
39,ABACA WAY btwn KITTIWAKE DR & KITTIWAKE DR,348544.6338,5014092.75,-75.94255948,45.26543225,2016-05-26,18:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Stittsville
40,ABBEYHILL DR @ CASTLEFRANK RD,353223.3779,5017261.013,-75.88263216,45.29363457,2016-01-05,9:26,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Glen Cairn - Kanata South Business Park
41,ABBEYHILL DR @ EAGLESON RD,353826.9663,5018034.236,-75.87486079,45.30055034,2016-12-08,19:33,03 - Snow,05 - Packed snow,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Glen Cairn - Kanata South Business Park
42,ABBEYHILL DR @ EAGLESON RD,353826.9663,5018034.236,-75.87486079,45.30055034,2016-12-08,8:27,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Glen Cairn - Kanata South Business Park
43,ABBEYHILL DR @ EAGLESON RD,353827.4054,5018035.554,-75.87485507,45.30056217,2016-02-13,8:35,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Glen Cairn - Kanata South Business Park
44,ABBEYHILL DR @ EAGLESON RD,353827.8912,5018034.19,-75.87484901,45.30054987,2016-04-03,15:09,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Glen Cairn - Kanata South Business Park
45,ABBEYHILL DR @ EAGLESON RD,353826.9566,5018034.756,-75.87486087,45.30055502,2016-11-21,15:20,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,Glen Cairn - Kanata South Business Park
46,ABBEYHILL DR @ EAGLESON RD,353826.9431,5018034.91,-75.87486102,45.30055641,2016-06-28,7:03,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Glen Cairn - Kanata South Business Park
47,ABBEYHILL DR @ EAGLESON RD,353828.2835,5018033.797,-75.87484404,45.3005463,2016-07-15,12:11,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement,Greenbelt
48,ABBEYHILL DR @ EAGLESON RD,353827.8504,5018033.329,-75.87484961,45.30054212,2016-06-02,5:27,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,03 - P.D. only,07 - SMV other,Glen Cairn - Kanata South Business Park
49,ABBEYHILL DR @ EAGLESON RD,353827.9499,5018034.167,-75.87484826,45.30054965,2016-12-09,9:15,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Glen Cairn - Kanata South Business Park
50,ABBEYHILL DR btwn ALDBURN PL & SHERWOOD ST,353350.0615,5017468.252,-75.88099683,45.29549061,2016-03-21,15:40,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Glen Cairn - Kanata South Business Park
51,ABBEYHILL DR btwn ORIOLE AVE & ALDBURN PL,353279.6302,5017344.106,-75.8819069,45.29437838,2016-05-23,20:07,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Glen Cairn - Kanata South Business Park
52,ABBOTT ST @ CARBERY DR,350672.5707,5013713.519,-75.91547945,45.26188424,2016-05-28,20:16,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,03 - Rear end,Stittsville
53,ABBOTT ST @ IBER RD,351976.9655,5014876.174,-75.89874897,45.2722599,2016-03-03,8:15,01 - Clear,06 - Ice,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Stittsville
54,ABBOTT ST @ JONATHAN PACK ST,349857.359,5012982.533,-75.92593285,45.25535925,2016-01-23,14:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Crossing Bridge
55,ABBOTT ST @ JONATHAN PACK ST,349857.3565,5012980.301,-75.92593309,45.25533917,2016-03-09,13:10,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Stittsville
56,ABBOTT ST @ STITTSVILLE MAIN ST,350249.0435,5013331.187,-75.92091084,45.25847138,2016-05-09,9:32,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Stittsville
57,ABBOTT ST @ STITTSVILLE MAIN ST,350248.3376,5013331.028,-75.92091985,45.25846999,2016-05-06,21:05,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Stittsville
58,ABERDEEN ST @ PRESTON ST,366651.0228,5029340.891,-75.70994194,45.40127356,2016-03-24,13:36,03 - Snow,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Little Italy
59,ABERDEEN ST @ PRESTON ST,366651.4752,5029342.66,-75.70993594,45.40128944,2016-02-17,16:00,03 - Snow,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Little Italy
60,ABERDEEN ST @ PRESTON ST,366652.3711,5029340.886,-75.70992471,45.4012734,2016-05-22,12:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Little Italy
61,ABERDEEN ST @ PRESTON ST,366650.597,5029341.782,-75.70994726,45.40128162,2016-10-02,12:13,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Little Italy
62,ABERDEEN ST @ PRESTON ST,366652.1681,5029340.853,-75.70992731,45.40127312,2016-12-16,19:55,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Little Italy
63,ABERDEEN ST @ PRESTON ST,366651.9142,5029341.782,-75.70993044,45.4012815,2016-12-20,11:19,03 - Snow,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Little Italy
64,ABERDEEN ST btwn PRESTON ST & ROCHESTER ST,366676.922,5029351.108,-75.70960986,45.40136321,2016-08-07,10:57,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,01 - Approaching,Little Italy
65,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350502.9254,5023996.488,-75.91669271,45.35442424,2016-07-19,14:33,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,South March
66,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350433.3179,5023961.779,-75.91758427,45.35411646,2016-06-13,18:57,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,South March
67,ABETTI RDG/RIVERSTONE DR @ JOCKVALE RD,365163.4976,5013549.479,-75.73086682,45.25931403,2016-04-03,3:53,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,New Barrhaven
68,ABETTI RDG/RIVERSTONE DR @ JOCKVALE RD,365165.1603,5013549.672,-75.73084561,45.25931562,2016-11-04,21:54,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,New Barrhaven
69,ACACIA AVE @ BEECHWOOD AVE,369634.4803,5033942.597,-75.67123086,45.44240801,2016-07-04,7:14,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Vanier North
70,ACACIA AVE @ BEECHWOOD AVE,369635.15,5033942.427,-75.67122233,45.44240642,2016-12-06,14:42,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Vanier North
71,ACACIA AVE @ ROCKCLIFFE PKWY,368701.5507,5035534.318,-75.68294837,45.45681558,2016-05-11,16:59,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Rockcliffe - Manor Park
72,ACACIA AVE btwn RIDEAU TER & CARSDALE AVE,369553.6307,5034148.584,-75.67223714,45.44426889,2016-02-18,18:30,01 - Clear,03 - Loose snow,10 - No control,04 - At/near private drive,07 - Dark,03 - P.D. only,05 - Turning movement,Lindenlea - New Edinburgh
73,ACKLAM TER btwn AYTON LANE & AYTON LANE,349671.4789,5023245.551,-75.92737209,45.34772084,2016-06-09,4:06,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,Morgan's Grant
74,ADELINE ST @ PRESTON ST,366778.9015,5029050.821,-75.70834508,45.39865228,2016-02-17,9:52,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Little Italy
75,ADELINE ST btwn NORFOLK AVE & ROCHESTER ST,366928.3443,5029119.038,-75.70642784,45.39925283,2016-12-23,12:42,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Hunt Club East - Western Community
76,ADELINE ST btwn PRESTON ST & END,366738.5001,5029039.514,-75.70886249,45.39855412,2016-05-12,11:55,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
77,ADIRONDACK DR @ WOODROFFE AVE,362457.686,5024005.926,-75.76412412,45.35362809,2016-11-08,17:08,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Little Italy
78,ADIRONDACK DR btwn DOMALATCHY PL & WOODROFFE AVE,362353.0947,5023963.631,-75.76546382,45.35325611,2016-03-04,21:40,01 - Clear,05 - Packed snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Iris
79,ADMIRAL AVE @ SHILLINGTON AVE,365271.4462,5027076.67,-75.7278399,45.38102111,2016-01-06,12:52,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Iris
80,AERO DR @ HOLLY ACRES RD,358342.7276,5023227.21,-75.8167231,45.34694745,2016-09-27,11:20,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Carlington
81,AGES DR @ HAWTHORNE RD,374971.5165,5027718.435,-75.60390262,45.38589097,2016-02-11,13:01,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Crystal Bay - Lakeview Park - Britannia Village
82,AGES DR @ HAWTHORNE RD,374971.0753,5027717.314,-75.60390841,45.38588093,2016-02-25,18:15,03 - Snow,06 - Ice,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Industrial Park
83,AGES DR @ HAWTHORNE RD,374972.423,5027717.536,-75.60389117,45.38588279,2016-07-27,11:31,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Industrial Park
84,AGES DR @ HAWTHORNE RD,374970.913,5027715.465,-75.60391075,45.38586431,2016-12-12,18:49,03 - Snow,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Industrial Park
85,AGINCOURT RD @ MAITLAND AVE,363446.0124,5025450.527,-75.75133993,45.36654448,2016-02-19,10:50,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Industrial Park
86,AGINCOURT RD @ MAITLAND AVE,363447.3452,5025449.868,-75.75132299,45.36653844,2016-10-23,10:33,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Braemar Park - Bel Air Heights - Copeland Park
87,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370593.2595,5020833.022,-75.6607235,45.32436306,2016-11-17,16:48,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement,Braemar Park - Bel Air Heights - Copeland Park
88,AIRPORT PARKWAY PRIV btwn Continuation of AIRPORT PARKWAY PRIV & TRACK,370091.4261,5020665.653,-75.66714641,45.32290397,2016-11-07,16:31,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Greenbelt
89,AIRPORT PARKWAY PRIV btwn TO BE DETERMINED & AIR CARGO PRIV (2),370507.3594,5020767.984,-75.66182778,45.32378591,2016-10-06,15:20,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Greenbelt
90,AIRPORT PKWY @ HUNT CLUB RD,371018.514,5023703.025,-75.65491537,45.35014653,2016-04-01,22:07,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Greenbelt
91,AIRPORT PKWY @ HUNT CLUB RD,371018.7576,5023703.145,-75.65491225,45.35014759,2016-02-25,7:41,04 - Freezing Rain,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
92,AIRPORT PKWY @ HUNT CLUB RD,371018.528,5023705.069,-75.65491492,45.35016492,2016-10-18,16:20,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
93,AIRPORT PKWY @ HUNT CLUB RD,371018.7535,5023702.773,-75.65491235,45.35014424,2016-05-27,12:06,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
94,AIRPORT PKWY @ HUNT CLUB RD,371018.528,5023702.309,-75.65491529,45.35014009,2016-02-17,6:55,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,03 - Dawn,03 - P.D. only,04 - Sideswipe,Hunt Club East - Western Community
95,AIRPORT PKWY @ HUNT CLUB RD,371018.1227,5023702.637,-75.65492042,45.35014308,2016-07-22,14:15,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
96,AIRPORT PKWY @ HUNT CLUB RD,371019.3562,5023703.412,-75.65490457,45.35014993,2016-11-17,19:38,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
97,AIRPORT PKWY @ HUNT CLUB RD,371019.3562,5023700.928,-75.65490491,45.35012758,2016-12-29,13:59,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
98,AIRPORT PKWY @ UPLANDS DR,370859.9013,5021074.898,-75.65729024,45.32651435,2016-12-20,11:04,01 - Clear,01 - Dry,03 - Yield sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Hunt Club East - Western Community
99,AIRPORT PKWY @ UPLANDS DR,370860.3053,5021073.551,-75.65728527,45.32650219,2016-10-22,21:58,01 - Clear,02 - Wet,03 - Yield sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Greenbelt
100,AIRPORT PKWY btwn AIRPORT PARKWAY PRIV & RAMP,371152.5902,5021373.989,-75.65351681,45.32917788,2016-03-24,18:15,04 - Freezing Rain,05 - Packed snow,10 - No control,07 - Overpass or bridge,05 - Dusk,02 - Non-fatal injury,01 - Approaching,Greenbelt
101,AIRPORT PKWY btwn AIRPORT PARKWAY PRIV & RAMP,371034.3424,5021255.079,-75.65504108,45.32811913,2016-12-11,11:48,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Greenbelt
102,AIRPORT PKWY btwn AIRPORT PKWY/HUNT CLUB RAMP 42 & WALKLEY RD NB RAMP,370463.4049,5024529.236,-75.66188921,45.35763272,2016-01-03,7:26,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,06 - SMV unattended vehicle,Greenbelt
103,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP          ,370162.99,5025384.965,-75.66561005,45.36536039,2016-09-18,22:56,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Hunt Club East - Western Community
104,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP          ,370170.0927,5025374.437,-75.66552078,45.365265,2016-12-23,1:15,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,03 - Rear end,Hunt Club Woods - Quintarra - Revelstoke - Riverside South P
