Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
19,8TH LINE RD @ PARKWAY RD,383166.7413,5016892.171,-75.50098,45.28761,2017-09-22,5:59:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,01 - Fatal injury,02 - Angle,Metcalfe
20,8TH LINE RD @ SPRINGHILL RD,386913.9806,5007335.191,-75.45479,45.2012,2017-05-14,3:32:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Metcalfe
21,8TH LINE RD btwn ANDREW SIMPSON DR & BRUCE ST,385271.4153,5011638.054,-75.475,45.2401,2017-01-30,8:25:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Metcalfe
22,8TH LINE RD btwn COOPER HILL RD & FOREST GREEN CRES,384041.0431,5014811.55,-75.49017,45.2688,2017-12-21,5:41:00 PM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Metcalfe
23,8TH LINE RD btwn MARVELVILLE RD & LAWRENCE ST,387737.8158,5005229.678,-75.44466,45.18216,2017-07-27,10:55:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other,Metcalfe
24,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR,382555.3147,5018345.005,-75.50854,45.30075,2017-07-31,9:52:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end,Metcalfe
25,8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR,384774.5277,5012974.975,-75.48112,45.25219,2017-05-18,4:39:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Metcalfe
26,8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR,384864.5183,5012711.93,-75.48001,45.24981,2017-04-06,10:52:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Metcalfe
27,8TH LINE RD btwn SPRINGHILL RD & MARVELVILLE RD,387003.3325,5007084.66,-75.4537,45.19893,2017-07-11,12:15:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Metcalfe
28,9TH LINE RD @ VICTORIA ST,387131.3869,5012213.182,-75.45122,45.24506,2017-09-14,2:46:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Metcalfe
29,AARON AVE btwn CARLING AVE & LENESTER AVE,362166.075,5025847.421,-75.76763,45.37022,2017-04-04,8:15:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,06 - SMV unattended vehicle,Glabar Park
30,ABBEYHILL DR @ CASTLEFRANK RD,353223.5158,5017259.133,-75.88263,45.29362,2017-06-02,8:57:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Glen Cairn - Kanata South Business Park
31,ABBEYHILL DR @ EAGLESON RD,353827.5656,5018035.013,-75.87485,45.30056,2017-10-20,8:57:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Glen Cairn - Kanata South Business Park
32,ABBEYHILL DR @ SURREY LANE,353673.1068,5017965.464,-75.87683,45.29994,2017-12-12,10:24:00 AM,03 - Snow,05 - Packed snow,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Glen Cairn - Kanata South Business Park
33,ABBEYHILL DR btwn OLD COLONY RD & BALBAIR RD,353492.3895,5017735.27,-75.87916,45.29788,2017-04-29,1:36:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,99 - Other,Glen Cairn - Kanata South Business Park
34,ABBEYHILL DR btwn SURREY LANE & EAGLESON RD,353730.3195,5017996.889,-75.8761,45.30022,2017-01-23,7:21:00 AM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,03 - Dawn,03 - P.D. only,02 - Angle,Glen Cairn - Kanata South Business Park
35,ABBOTT ST @ GRANITE RIDGE DR,351484.2022,5014433.244,-75.90507,45.26831,2017-06-29,3:15:00 PM,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Stittsville
36,ABBOTT ST @ GRANITE RIDGE DR,351484.7004,5014435.917,-75.90506,45.26833,2017-12-14,3:00:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Stittsville
37,ABBOTT ST @ IBER RD,351978.5414,5014878.753,-75.89873,45.27228,2017-09-21,10:40:00 AM,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Stittsville
38,ABBOTT ST @ IBER RD,351979.7476,5014877.734,-75.89871,45.27227,2017-11-26,2:41:00 PM,02 - Rain,02 - Wet,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Stittsville
39,ABBOTT ST @ SHEA RD,351157.8837,5014145.973,-75.90926,45.26574,2017-04-18,9:43:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Stittsville
40,ABBOTT ST @ STITTSVILLE MAIN ST,350251.7919,5013330.784,-75.92088,45.25847,2017-05-25,7:07:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Stittsville
41,ABBOTT ST @ STITTSVILLE MAIN ST,350248.9188,5013330.748,-75.92091,45.25847,2017-06-30,12:16:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Stittsville
42,ABBOTT ST @ STITTSVILLE MAIN ST,350248.5843,5013330.939,-75.92092,45.25847,2017-09-16,12:45:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,99 - Other,Stittsville
43,ABBOTT ST W @ WEST RIDGE DR,349644.7887,5012784.415,-75.92866,45.25359,2017-06-25,4:13:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Stittsville
44,ABERDEEN ST @ PRESTON ST,366651.3603,5029341.563,-75.70994,45.40128,2017-06-17,11:15:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Little Italy
45,ABERDEEN ST @ PRESTON ST,366651.6947,5029340.328,-75.70993,45.40127,2017-02-15,12:00:00 AM,03 - Snow,03 - Loose snow,02 - Stop sign,02 - Intersection related,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
46,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350459.8639,5024070.957,-75.91724,45.3551,2017-05-28,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,South March
47,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350495.7411,5023988.282,-75.91679,45.35435,2017-07-28,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,South March
48,ABETTI RIDGE btwn ESPIN HTS & JOCKVALE RD,365053.348,5013471.104,-75.73228,45.25862,2017-01-07,5:47:00 PM,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,New Barrhaven
49,ACACIA AVE @ BEECHWOOD AVE,369635.0421,5033941.259,-75.67122,45.4424,2017-07-14,7:47:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Vanier North
50,ACACIA AVE @ MARIPOSA AVE,369401.7251,5034679.627,-75.67411,45.44906,2017-12-28,10:20:00 AM,01 - Clear,05 - Packed snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Rockcliffe - Manor Park
51,ACACIA AVE @ ROCKCLIFFE PKWY,368702.726,5035534.246,-75.68293,45.45681,2017-05-14,9:30:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Rockcliffe - Manor Park
52,ACACIA AVE @ ROCKCLIFFE PKWY,368704.3948,5035533.268,-75.68291,45.45681,2017-02-08,9:08:00 AM,03 - Snow,06 - Ice,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,01 - Approaching,Rockcliffe - Manor Park
53,ACACIA AVE btwn RIDEAU TER & OAKHILL RD,369542.2727,5034190.341,-75.67238,45.44465,2017-04-14,3:41:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Lindenlea
54,ACCEPTANCE PL @ HOPE SIDE RD,356552.335,5015257.147,-75.8404,45.27537,2017-09-24,4:30:00 AM,01 - Clear,01 - Dry,,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Bridlewood - Emerald Meadows
55,ACKLAM TER btwn AYTON LANE & AYTON LANE,349725.9782,5023305.103,-75.92667,45.34825,2017-02-21,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Morgan's Grant
56,ADAMSON CRES btwn WEST RIDGE DR N & WEST RIDGE DR S,349731.589,5012185.909,-75.92761,45.2482,2017-05-31,1:05:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Stittsville
57,ADELINE ST @ PRESTON ST,366778.6971,5029049.886,-75.70835,45.39864,2017-02-18,12:46:00 PM,01 - Clear,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
58,ADELINE ST @ PRESTON ST,366780.0349,5029049.217,-75.70833,45.39864,2017-02-12,6:40:00 PM,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Little Italy
59,ADELINE ST @ PRESTON ST,366779.7004,5029051.789,-75.70833,45.39866,2017-02-08,11:20:00 AM,01 - Clear,04 - Slush,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
60,ADIRONDACK DR @ IRIS ST,362132.6934,5024317.845,-75.76824,45.35646,2017-11-22,3:01:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Iris
61,ADIRONDACK DR @ WOODROFFE AVE,362457.6853,5024005.512,-75.76412,45.35362,2017-05-04,1:31:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Iris
62,ADIRONDACK DR @ WOODROFFE AVE,362456.6827,5024003.505,-75.76414,45.35361,2017-06-30,8:53:00 PM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,Iris
63,ADIRONDACK DR @ WOODROFFE AVE,362456.6005,5024004.698,-75.76414,45.35362,2017-10-10,11:07:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Iris
64,ADIRONDACK DR @ WOODROFFE AVE,362458.1594,5024005.275,-75.76412,45.35362,2017-09-24,1:11:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Iris
65,ADMIRAL AVE @ ANNA AVE,365153.9484,5027266.147,-75.72932,45.38274,2017-02-08,10:22:00 AM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Carlington
66,AERO DR @ HOLLY ACRES RD,358341.224,5023230.015,-75.81674,45.34697,2017-04-12,6:13:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Bayshore
67,AGES DR @ HAWTHORNE RD,374971.7412,5027717.536,-75.6039,45.38588,2017-08-08,2:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement,Industrial Park
68,AGES DR @ HAWTHORNE RD,374971.2678,5027718.719,-75.60391,45.38589,2017-12-20,4:05:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,05 - Dusk,03 - P.D. only,03 - Rear end,Industrial Park
69,AGES DR btwn LEGACY RD & HAWTHORNE RD,374675.3343,5027551.301,-75.60771,45.38442,2017-08-30,2:24:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Industrial Park
70,AGES DR btwn LEGACY RD & HAWTHORNE RD,374915.2195,5027683.422,-75.60463,45.38558,2017-04-06,2:27:00 PM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Industrial Park
71,AGES DR btwn SWANSEA CRES & LEGACY RD,374338.3425,5027476.338,-75.61202,45.38378,2017-05-30,1:43:00 PM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Industrial Park
72,AGES DR btwn SWANSEA CRES & LEGACY RD,374195.1449,5027360.31,-75.61387,45.38275,2017-07-06,10:10:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Industrial Park
73,AGES DR btwn SWANSEA CRES & LEGACY RD,374170.3345,5027322.588,-75.61419,45.38241,2017-07-06,10:23:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Industrial Park
74,AGINCOURT RD @ MAITLAND AVE,363447.649,5025451.971,-75.75132,45.36656,2017-07-25,7:18:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Braemar Park - Bel Air Heights - Copeland Park
75,AGINCOURT RD @ MAITLAND AVE,363446.8225,5025450.598,-75.75133,45.36655,2017-08-08,10:09:00 AM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Braemar Park - Bel Air Heights - Copeland Park
76,AGINCOURT RD @ MAITLAND AVE,363447.16,5025450.764,-75.75133,45.36655,2017-12-19,2:12:00 PM,03 - Snow,04 - Slush,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,Braemar Park - Bel Air Heights - Copeland Park
77,AHEARN AVE btwn CROFT ST & FARROW ST,359544.2707,5024743.656,-75.80122,45.3605,2017-03-30,9:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Crystal Bay - Lakeview Park - Britannia Village
78,AINSLEY DR btwn ERINDALE DR & AMESBROOKE DR,363822.5681,5024660.789,-75.74663,45.35941,2017-11-14,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Braemar Park - Bel Air Heights - Copeland Park
79,AINSLEY DR btwn FERGUSON ST & GAGE CRES,363443.4407,5024514.043,-75.75148,45.35812,2017-04-20,8:46:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,05 - Turning movement,Braemar Park - Bel Air Heights - Copeland Park
80,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370593.9329,5020833.424,-75.66071,45.32437,2017-07-28,5:11:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Greenbelt
81,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370592.944,5020832.433,-75.66073,45.32436,2017-02-17,4:31:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Greenbelt
82,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370593.9699,5020833.694,-75.66071,45.32437,2017-04-14,1:50:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Greenbelt
83,AIRPORT PARKWAY PRIV btwn Continuation of AIRPORT PARKWAY PRIV & TO BE,370262.3894,5020608.461,-75.66497,45.32237,2017-04-21,3:13:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Greenbelt
84,AIRPORT PKWY @ HUNT CLUB RD,371019.5313,5023701.66,-75.6549,45.35013,2017-05-25,7:23:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Hunt Club East - Western Community
85,AIRPORT PKWY @ HUNT CLUB RD,371019.5313,5023703.667,-75.6549,45.35015,2017-06-13,9:15:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
86,AIRPORT PKWY @ HUNT CLUB RD,371018.8625,5023703.667,-75.65491,45.35015,2017-05-05,4:14:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Hunt Club East - Western Community
87,AIRPORT PKWY @ HUNT CLUB RD,371018.6318,5023703.714,-75.65491,45.35015,2017-08-13,12:35:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Hunt Club East - Western Community
88,AIRPORT PKWY @ HUNT CLUB RD,371018.528,5023702.727,-75.65492,45.35014,2017-10-12,6:44:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,03 - Dawn,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
89,AIRPORT PKWY @ HUNT CLUB RD,371019.0059,5023703.715,-75.65491,45.35015,2017-09-20,3:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
90,AIRPORT PKWY @ HUNT CLUB RD,371018.0495,5023704.078,-75.65492,45.35016,2017-09-16,7:00:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Hunt Club East - Western Community
91,AIRPORT PKWY @ HUNT CLUB RD,371019.0745,5023703.545,-75.65491,45.35015,2017-10-07,8:07:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,01 - Approaching,Hunt Club East - Western Community
92,AIRPORT PKWY @ HUNT CLUB RD,371018.8625,5023702.998,-75.65491,45.35015,2017-11-15,1:28:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Hunt Club East - Western Community
93,AIRPORT PKWY @ HUNT CLUB RD,371019.4748,5023702.762,-75.6549,45.35014,2017-11-22,8:07:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Hunt Club East - Western Community
94,AIRPORT PKWY @ HUNT CLUB RD,371019.5313,5023702.329,-75.6549,45.35014,2017-12-11,5:14:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
95,AIRPORT PKWY @ HUNT CLUB RD,371019.7626,5023706.702,-75.6549,45.35018,2017-02-10,2:26:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
96,AIRPORT PKWY @ HUNT CLUB RD,371018.5286,5023702.999,-75.65492,45.35015,2017-02-12,12:03:00 AM,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,99 - Other,Hunt Club East - Western Community
97,AIRPORT PKWY @ HUNT CLUB RD,371018.528,5023702.452,-75.65492,45.35014,2017-01-05,2:22:00 PM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Hunt Club East - Western Community
98,AIRPORT PKWY @ HUNT CLUB RD,371018.5342,5023702.983,-75.65492,45.35015,2017-02-15,9:12:00 AM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Hunt Club East - Western Community
99,AIRPORT PKWY @ HUNT CLUB RD,371018.528,5023705.573,-75.65491,45.35017,2017-01-05,2:42:00 PM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,Hunt Club East - Western Community
100,AIRPORT PKWY @ HUNT CLUB RD,371019.3864,5023701.281,-75.6549,45.35013,2017-01-05,8:20:00 AM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Hunt Club East - Western Community
101,AIRPORT PKWY @ HUNT CLUB RD,371019.3864,5023703.857,-75.6549,45.35015,2017-01-13,2:48:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Hunt Club East - Western Community
102,AIRPORT PKWY @ HUNT CLUB RD,371019.5313,5023702.998,-75.6549,45.35015,2017-03-15,7:51:00 AM,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Hunt Club East - Western Community
103,AIRPORT PKWY @ HUNT CLUB RD,371018.8625,5023702.329,-75.65491,45.35014,2017-04-19,1:31:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Hunt Club East - Western Community
